UBER,1186492
ZM,206114
PINS,547277
CRWD,215092
PTON,343868
WORK,697987
LYFT,352495
AVTR,688993
RBLX,269923
RPRX,452950
DDOG,211575
BILL,104093
TXG,79518
ABNB,75694
LI,585154
DT,254671
SNOW,51966
NET,163711
CVAC,123983
XP,267018
BYND,76417
TW,117279
BEKE,152955
PLTR,363486
PPD,222186
FVRR,36070
CHWY,94879
OSH,121906
FSLY,110776
CPNG,163874
BBIO,128308
GFL,172653
DASH,45975
VRM,143510
XPEV,156250
LSPD,75338
ZI,95956
ADPT,107426
DNB,191326
NCNO,62675
ACI,208982
BMBL,61667
U,37117
LU,243927
RKT,155177
OZON,52947
PLTK,100578
XM,75142
AFRM,34522
GDRX,56478
KC,48761
REYN,69369
GSX,64565
SHC,64158
RLX,158873
AI,23527
OCFT,73456
MNSO,44305
ABCL,34761
YSG,83949
WISH,64017
DADA,30337
